Date,Time,PC,Side,Name,Mould,Cavity,Total,OK,Reject,Recycle,OCR,Ignore,Default,Default,OK,NoPart,Overlap,Position,ToothCount,DiameterMin,DiameterMax,Circularity,T2TDistMin,T2TDistMax,ToothGapMin,ToothGapMax,Hole,UpsideDown,SlantAngle,HeightMin,HeightMax,Protrusion,Letter,OCRFail,MissingX,Error,
2018-08-02,20:33:33,1,AB,Cavity,2,12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,17,339,297,41,0,1,0,0,0,339,0,0,0,3,0,0,0,0,0,37,1,0,0,0,0,1,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,18,337,250,86,0,1,0,0,0,337,0,0,0,4,0,1,0,0,0,23,0,0,0,0,0,1,0,0,1,62,0,
2018-08-02,20:33:33,1,AB,Cavity,2,19,342,304,37,0,1,0,0,0,342,0,0,0,2,0,1,1,0,0,33,0,0,0,0,0,1,0,0,4,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,25,342,317,24,0,1,0,0,0,342,0,0,0,2,0,1,0,0,0,19,1,0,0,0,0,1,0,0,7,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
